No,Judul,Tahun,Rating,Rating_2,Durasi,Link
88,Singin' in the Rain,1952,8.3 (262K),NC-17,1h 43m,https://www.imdb.com/title/tt0045152/?ref_=chttp_t_88
89,Capernaum,2018,8.4 (106K),G,2h 6m,https://www.imdb.com/title/tt8267604/?ref_=chttp_t_89
90,Come and See,1985,8.4 (99K),PG,2h 22m,https://www.imdb.com/title/tt0091251/?ref_=chttp_t_90
91,Requiem for a Dream,2000,8.3 (903K),R,1h 42m,https://www.imdb.com/title/tt0180093/?ref_=chttp_t_91
92,Toy Story 3,2010,8.3 (896K),R,1h 43m,https://www.imdb.com/title/tt0435761/?ref_=chttp_t_92
93,Star Wars: Episode VI - Return of the Jedi,1983,8.3 (1.1M),G,2h 11m,https://www.imdb.com/title/tt0086190/?ref_=chttp_t_93
94,Eternal Sunshine of the Spotless Mind,2004,8.3 (1.1M),R,1h 48m,https://www.imdb.com/title/tt0338013/?ref_=chttp_t_94
95,The Hunt,2012,8.3 (367K),Not Rated,1h 55m,https://www.imdb.com/title/tt2106476/?ref_=chttp_t_95
96,2001: A Space Odyssey,1968,8.3 (723K),R,2h 29m,https://www.imdb.com/title/tt0062622/?ref_=chttp_t_96
97,Reservoir Dogs,1992,8.3 (1.1M),PG,1h 39m,https://www.imdb.com/title/tt0105236/?ref_=chttp_t_97
98,Ikiru,1952,8.3 (88K),Approved,2h 23m,https://www.imdb.com/title/tt0044741/?ref_=chttp_t_98
99,Oppenheimer,2023,8.3 (753K),R,3h,https://www.imdb.com/title/tt15398776/?ref_=chttp_t_99
100,Lawrence of Arabia,1962,8.3 (316K),Approved,3h 38m,https://www.imdb.com/title/tt0056172/?ref_=chttp_t_100
101,The Apartment,1960,8.3 (198K),PG,2h 5m,https://www.imdb.com/title/tt0053604/?ref_=chttp_t_101
102,Incendies,2010,8.3 (203K),Passed,2h 11m,https://www.imdb.com/title/tt1255953/?ref_=chttp_t_102
103,North by Northwest,1959,8.3 (348K),R,2h 16m,https://www.imdb.com/title/tt0053125/?ref_=chttp_t_103
104,Citizen Kane,1941,8.3 (467K),Approved,1h 59m,https://www.imdb.com/title/tt0033467/?ref_=chttp_t_104
105,M,1931,8.3 (169K),PG,1h 39m,https://www.imdb.com/title/tt0022100/?ref_=chttp_t_105
106,Scarface,1983,8.3 (921K),R,2h 50m,https://www.imdb.com/title/tt0086250/?ref_=chttp_t_106
107,Double Indemnity,1944,8.3 (168K),R,1h 47m,https://www.imdb.com/title/tt0036775/?ref_=chttp_t_107
108,Vertigo,1958,8.3 (429K),R,2h 8m,https://www.imdb.com/title/tt0052357/?ref_=chttp_t_108
109,Full Metal Jacket,1987,8.3 (794K),PG,1h 56m,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_109
110,Amélie,2001,8.3 (797K),R,2h 2m,https://www.imdb.com/title/tt0211915/?ref_=chttp_t_110
