No,Judul,Tahun,Rating,Rating_2,Durasi,Link
1,The Shawshank Redemption,1994,9.3 (2.9M),R,2h 22m,https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1
2,The Godfather,1972,9.2 (2M),R,2h 55m,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2
3,The Dark Knight,2008,9.0 (2.9M),PG-13,2h 32m,https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3
4,The Godfather Part II,1974,9.0 (1.4M),R,3h 22m,https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4
5,12 Angry Men,1957,9.0 (871K),Approved,1h 36m,https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5
6,Schindler's List,1993,9.0 (1.5M),R,3h 15m,https://www.imdb.com/title/tt0108052/?ref_=chttp_t_6
7,The Lord of the Rings: The Return of the King,2003,9.0 (2M),PG-13,3h 21m,https://www.imdb.com/title/tt0167260/?ref_=chttp_t_7
8,Pulp Fiction,1994,8.9 (2.2M),R,2h 34m,https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.9 (2M),PG-13,2h 58m,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9
10,"The Good, the Bad and the Ugly",1966,8.8 (815K),R,2h 58m,https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10
11,Forrest Gump,1994,8.8 (2.3M),PG-13,2h 22m,https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11
12,The Lord of the Rings: The Two Towers,2002,8.8 (1.8M),PG-13,2h 59m,https://www.imdb.com/title/tt0167261/?ref_=chttp_t_12
13,Fight Club,1999,8.8 (2.3M),R,2h 19m,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13
14,Inception,2010,8.8 (2.6M),PG-13,2h 28m,https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7 (1.4M),PG,2h 4m,https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15
16,The Matrix,1999,8.7 (2.1M),R,2h 16m,https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16
17,Goodfellas,1990,8.7 (1.3M),R,2h 25m,https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17
18,One Flew Over the Cuckoo's Nest,1975,8.7 (1.1M),R,2h 13m,https://www.imdb.com/title/tt0073486/?ref_=chttp_t_18
19,Se7en,1995,8.6 (1.8M),R,2h 7m,https://www.imdb.com/title/tt0114369/?ref_=chttp_t_19
20,Interstellar,2014,8.7 (2.1M),PG-13,2h 49m,https://www.imdb.com/title/tt0816692/?ref_=chttp_t_20
21,It's a Wonderful Life,1946,8.6 (501K),PG,2h 10m,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21
22,Seven Samurai,1954,8.6 (368K),Not Rated,3h 27m,https://www.imdb.com/title/tt0047478/?ref_=chttp_t_22
23,The Silence of the Lambs,1991,8.6 (1.6M),R,1h 58m,https://www.imdb.com/title/tt0102926/?ref_=chttp_t_23
24,Saving Private Ryan,1998,8.6 (1.5M),R,2h 49m,https://www.imdb.com/title/tt0120815/?ref_=chttp_t_24
25,City of God,2002,8.6 (804K),R,2h 10m,https://www.imdb.com/title/tt0317248/?ref_=chttp_t_25
26,Life Is Beautiful,1997,8.6 (747K),PG-13,1h 56m,https://www.imdb.com/title/tt0118799/?ref_=chttp_t_26
27,The Green Mile,1999,8.6 (1.4M),R,3h 9m,https://www.imdb.com/title/tt0120689/?ref_=chttp_t_27
28,Terminator 2: Judgment Day,1991,8.6 (1.2M),R,2h 17m,https://www.imdb.com/title/tt0103064/?ref_=chttp_t_28
29,Star Wars: Episode IV - A New Hope,1977,8.6 (1.5M),PG,2h 1m,https://www.imdb.com/title/tt0076759/?ref_=chttp_t_29
30,Dune: Part Two,2024,8.6 (445K),PG-13,2h 46m,https://www.imdb.com/title/tt15239678/?ref_=chttp_t_30
31,Back to the Future,1985,8.5 (1.3M),PG,1h 56m,https://www.imdb.com/title/tt0088763/?ref_=chttp_t_31
32,Spirited Away,2001,8.6 (856K),PG,2h 5m,https://www.imdb.com/title/tt0245429/?ref_=chttp_t_32
33,The Pianist,2002,8.5 (918K),R,2h 30m,https://www.imdb.com/title/tt0253474/?ref_=chttp_t_33
34,Parasite,2019,8.5 (970K),R,2h 12m,https://www.imdb.com/title/tt6751668/?ref_=chttp_t_34
35,Psycho,1960,8.5 (722K),R,1h 49m,https://www.imdb.com/title/tt0054215/?ref_=chttp_t_35
36,Gladiator,2000,8.5 (1.6M),R,2h 35m,https://www.imdb.com/title/tt0172495/?ref_=chttp_t_36
