Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
31,tt0114814,2022-02-15,2022-02-15,,"The Usual Suspects","The Usual Suspects",https://www.imdb.com/title/tt0114814/,Movie,8.5,106,1995,"Crime, Drama, Mystery, Thriller",1149756,1995-08-16,"Bryan Singer"
32,tt11107858,2022-02-17,2022-02-17,,"The Righteous Gemstones: I Speak in the Tongues of Men and Angels","The Righteous Gemstones: I Speak in the Tongues of Men and Angels",https://www.imdb.com/title/tt11107858/,TV Episode,8.3,50,2022,"Comedy, Drama",1015,2022-01-09,"David Gordon Green"
33,tt3006802,2022-02-17,2022-02-17,,"Outlander","Outlander",https://www.imdb.com/title/tt3006802/,TV Series,8.4,60,2014,"Adventure, Drama, Fantasy, Romance",180278,2014-08-09,
34,tt6048596,2022-02-17,2022-02-17,,"The Sinner","The Sinner",https://www.imdb.com/title/tt6048596/,TV Series,7.9,45,2017,"Crime, Drama, Mystery, Thriller",139851,2017-08-02,
35,tt2802850,2022-02-17,2022-02-17,,"Fargo","Fargo",https://www.imdb.com/title/tt2802850/,TV Series,8.9,60,2014,"Crime, Drama, Thriller",424363,2014-04-15,
36,tt7660850,2022-02-17,2022-02-17,,"Succession","Succession",https://www.imdb.com/title/tt7660850/,TV Series,8.8,60,2018,"Comedy, Drama",277567,2018-06-03,
37,tt1864288,2022-02-18,2022-02-18,,"Conan O'Brien Can't Stop","Conan O'Brien Can't Stop",https://www.imdb.com/title/tt1864288/,Movie,7.0,89,2011,"Documentary, Comedy, Music",6869,2011-08-18,"Rodman Flender"
38,tt0453467,2022-02-18,2022-02-18,,"Deja Vu","Deja Vu",https://www.imdb.com/title/tt0453467/,Movie,7.1,126,2006,"Action, Crime, Sci-Fi, Thriller",328692,2006-11-22,"Tony Scott"
39,tt0372784,2022-02-21,2022-02-21,,"Batman Begins","Batman Begins",https://www.imdb.com/title/tt0372784/,Movie,8.2,140,2005,"Action, Crime, Drama",1585767,2005-06-15,"Christopher Nolan"
40,tt17070410,2022-02-28,2022-02-28,,"Jeen-yuhs: A Kanye Trilogy: Act II: Purpose","Jeen-yuhs: A Kanye Trilogy: Act II: Purpose",https://www.imdb.com/title/tt17070410/,TV Episode,8.6,93,2022,"Documentary, Music",1185,2022-02-23,"Coodie, Chike Ozah"
41,tt17070464,2022-02-28,2022-02-28,,"Jeen-yuhs: A Kanye Trilogy: Act: III: Awakening","Jeen-yuhs: A Kanye Trilogy: Act III: Awakening",https://www.imdb.com/title/tt17070464/,TV Episode,7.9,97,2022,"Documentary, Music",830,2022-03-02,"Coodie, Chike Ozah"
42,tt2235759,2022-02-28,2022-02-28,,"The Great","The Great",https://www.imdb.com/title/tt2235759/,TV Series,8.1,,2020,"Biography, Comedy, Drama, History",54877,2020-05-15,
43,tt2578560,2022-02-28,2022-02-28,,"Broad City","Broad City",https://www.imdb.com/title/tt2578560/,TV Series,8.4,22,2014,"Comedy",35958,2014-01-22,
